rasterTimeSecs,NumTriangles,NumTrianglesRastered,AvgPixelsPerTri,MaxPixelsPerTri
0.0368517,12,12,1501.25,2498
0.036793,12,12,1501.25,2498
0.0367343,12,12,1501.25,2498
0.0367564,12,12,1501.25,2498
0.0367388,12,12,1501.25,2498
0.0367421,12,12,1501.25,2498
0.0368049,12,12,1501.25,2498
0.0369802,12,12,1501.25,2498
0.0367979,12,12,1501.25,2498
0.0367486,12,12,1501.25,2498
0.0367417,12,12,1501.25,2498
0.0377204,12,12,1483.67,2624
0.0395944,12,12,1427.83,3082
0.0393473,12,12,1415.5,3080
0.0388699,12,12,1426.17,2894
0.0347957,12,12,1361.5,2353
0.0355626,12,12,1339,2372
0.0396716,12,12,1349.83,2731
0.0385332,12,12,1243.33,2807
0.035577,12,12,1208,2737
0.0355856,12,12,1208,2737
0.0376719,12,12,1286.67,2625
0.0381958,12,12,1461.5,1964
0.0372815,12,12,1420.17,2213
0.0383481,12,12,1370.83,2449
0.0396277,12,12,1302.5,2666
0.0405662,12,12,1052.17,3153
0.0419185,12,12,1455,2847
0.0430708,12,12,1583.17,2343
0.0445368,12,12,1557.5,3005
0.0462175,12,12,1406.83,3471
0.0466075,12,12,1313.5,3572
0.0447762,12,12,1493.67,3091
0.0395686,12,12,1542,2755
0.0368804,12,12,1296.67,2851
0.0363201,12,12,1443.17,1896
0.0333322,12,12,1431,1777
0.0348528,12,12,1400,1960
0.0348007,12,12,1400,1960
0.0354583,12,12,1215.25,2593
0.0373217,12,12,1287.17,2877
0.0377364,12,12,1483.17,2731
0.0383271,12,12,1577.17,2678
0.0417095,12,12,1377.5,3106
0.0384482,12,12,1324.17,2779
0.03259,12,12,1100.58,2630
0.0275433,12,12,1149.33,2087
0.0263323,12,12,1147.83,1813
0.0309199,12,12,1201,2113
0.0321138,12,12,1230.83,2141
0.0317673,12,12,1236.33,1830
0.0348282,12,12,1185.83,2475
0.0363747,12,12,1053.33,2872
0.0341381,12,12,1109.83,2673
0.0332706,12,12,1220.08,2295
0.030518,12,12,1264.33,1680
0.0283365,12,12,1193.83,1539
0.0270187,12,12,1083.17,1656
0.0245813,12,12,952.5,1725
0.0226211,12,12,813.333,1738
0.0218866,12,12,764.5,1647
0.0209535,12,12,756.333,1565
0.0202851,12,12,731.667,1478
0.0194017,12,12,705.167,1386
0.0181331,12,12,654,1291
0.016429,12,12,598.667,1201
0.0149675,12,12,541,1143
0.0148784,12,12,523.333,1079
0.0144363,12,12,505.167,1038
0.0137897,12,12,473.5,1010
0.0136116,12,12,402.333,1002
0.0137639,12,12,433.833,944
0.0133697,12,12,469.833,859
0.0128738,12,12,460.667,737
0.0117872,12,12,442,645
0.0111471,12,12,410.667,662
0.0107781,12,12,377.667,687
0.0104156,12,12,362,693
0.0109952,12,12,384.833,728
0.0108914,12,12,402.5,697
0.00989871,12,12,401,614
0.00905918,12,12,388.833,540
0.00920738,12,12,390.333,555
0.00930919,12,12,372.917,592
0.00964624,12,12,365,649
0.00911747,12,12,341.833,666
0.00914621,12,12,329.833,661
0.0091963,12,12,347.667,647
0.00915442,12,12,370.333,574
0.00916551,12,12,383.167,581
0.00975995,12,12,370.5,652
0.00964665,12,12,338.167,690
0.00887362,12,12,304.333,688
0.00928702,12,12,335,649
0.00915114,12,12,348.667,584
0.0089274,12,12,349.167,533
0.00885268,12,12,343.667,492
0.00844133,12,12,336.833,488
0.00844995,12,12,336.833,488
0.00840069,12,12,336.833,488
0.00845611,12,12,336.833,488
0.00840356,12,12,336.833,488
0.00840808,12,12,336.833,488
0.00839987,12,12,336.833,488
0.00841752,12,12,336.833,488
0.0084089,12,12,336.833,488
0.00890153,12,12,332.333,514
0.00941552,12,12,370.167,489
0.00922421,12,12,365.333,487
0.00940074,12,12,350.333,590
0.00961257,12,12,338.667,641
0.00965609,12,12,326,667
0.00939171,12,12,306,680
0.0103708,12,12,344.833,686
0.0104895,12,12,380.5,684
0.010985,12,12,413.833,682
0.0109353,12,12,426.5,657
0.0110868,12,12,455,629
0.0117638,12,12,481.5,625
0.0119349,12,12,506.833,610
0.0125943,12,12,532.167,617
0.0127724,12,12,534.833,627
0.0128816,12,12,552.833,700
0.0127909,12,12,559.167,755
0.0126476,12,12,559.667,798
0.0129481,12,12,557.333,862
0.0152623,12,12,575.5,922
0.0176134,12,12,646.5,1014
0.0194534,12,12,718.833,1035
0.0201049,12,12,778.5,1022
0.0208484,12,12,819.833,1022
0.0219769,12,12,865.25,1064
0.0232496,12,12,902.667,1064
0.023057,12,12,879,1414
0.024858,12,12,821.167,1620
0.026368,12,12,862.417,1723
0.0277186,12,12,913,1830
0.0271825,12,12,1011.17,1653
0.0269411,12,12,1127.67,1361
0.0286485,12,12,1199.33,1450
0.03047,12,12,1278.33,1543
0.032936,12,12,1365.5,1647
0.0349817,12,12,1461.33,1762
0.0373915,12,12,1565.67,1972
0.0417748,12,12,1645.83,2634
0.0481951,12,12,1676.83,3432
0.0619216,12,12,2270.67,3347
0.0706449,12,12,2500.17,4625
0.0719069,12,12,2399.17,6148
0.0798264,12,12,2711.17,6702
0.0773394,12,12,3253,5438
0.0922306,12,12,3283,6802
0.0970901,12,12,3088.33,7909
0.0879229,12,12,3828.17,5969
0.115049,12,12,3914.33,9949
0.156077,12,12,4391,12427
0.172243,12,12,5681.17,13670
0.191467,12,12,6879.5,15417
0.260964,12,12,9050.83,22019
0.232126,12,12,7554.17,16971
0.188416,12,12,6659.92,14309
0.221416,12,12,7026.17,16771
0.224918,12,12,7143.67,17228
0.162596,12,12,6561.83,11661
0.159725,12,12,6515.67,10207
0.282122,12,12,8343.75,23435
0.220394,12,12,7615.17,13925
0.229833,12,12,7865.17,18883
0.298759,12,12,8385.5,25324
0.373178,12,12,10352,32020
0.476691,12,12,13201.2,41787
0.697101,12,12,21364.5,55245
1.10333,12,12,34996.2,110743
1.30762,12,12,47620.3,116009
1.5944,12,12,56304.3,176087
1.04014,12,12,34135.3,95343
0.712575,12,12,23777,63750
0.517663,12,12,17551.8,45665
0.517661,12,12,17551.8,45665
0.394016,12,12,13515.8,34344
0.310766,12,12,10737.3,26784
0.251289,12,12,8739.83,21473
0.17335,12,12,6119,14681
0.173291,12,12,6119,14681
0.173306,12,12,6119,14681
0.147418,12,12,5232.67,12436
0.127944,12,12,4528.33,10675
0.127949,12,12,4528.33,10675
0.111181,12,12,3955.83,9266
0.0965847,12,12,3485.5,8116
0.0856478,12,12,3097.67,7172
0.0856248,12,12,3097.67,7172
0.0768066,12,12,2766.5,6369
0.076814,12,12,2766.5,6369
0.0768123,12,12,2766.5,6369
0.076862,12,12,2766.5,6369
0.0768214,12,12,2766.5,6369
0.069112,12,12,2489.33,5712
0.0620127,12,12,2251.67,5140
0.056163,12,12,2041.67,4654
0.0509156,12,12,1865,4242
0.0462602,12,12,1711.17,3861
0.0428783,12,12,1576.17,3545
0.0396326,12,12,1455.33,3268
0.037199,12,12,1349.33,3019
0.0341241,12,12,1258.67,2788
0.0320074,12,12,1174,2592
0.029761,12,12,1096.83,2414
0.0281127,12,12,1027.33,2255
0.0264402,12,12,963,2110
0.0246639,12,12,904.333,1978
0.0231014,12,12,851.333,1863
0.0219732,12,12,804.667,1755
0.0207359,12,12,763.667,1652
0.0196024,12,12,720.5,1561
0.0185765,12,12,681.333,1474
0.0176922,12,12,649.833,1396
0.0166536,12,12,616.333,1321
0.0160862,12,12,587.833,1255
0.0154433,12,12,559.833,1199
0.0153978,12,12,559.833,1199
0.0145944,12,12,531.667,1146
0.0136924,12,12,510.667,1096
0.0132679,12,12,485.167,1044
0.0125922,12,12,467.833,998
0.0121295,12,12,448.167,952
0.0114883,12,12,429.5,911
0.011485,12,12,429.5,911
0.0111783,12,12,412,873
0.0107313,12,12,392,832
0.0103343,12,12,382,800
0.00996111,12,12,366.5,765
0.0099139,12,12,366.5,765
0.00991637,12,12,366.5,765
0.00991349,12,12,366.5,765
0.00991103,12,12,366.5,765
0.0099061,12,12,366.5,765
0.00992376,12,12,366.5,765
0.00990939,12,12,366.5,765
0.00992786,12,12,366.5,765
0.0099098,12,12,366.5,765
0.0100798,12,12,359.833,815
0.0101705,12,12,354.167,823
0.00991842,12,12,343.833,823
0.0107128,12,12,343.667,810
0.0111644,12,12,394.833,768
0.0113224,12,12,409.667,740
0.0111488,12,12,426,686
0.0113602,12,12,438.5,584
0.0112863,12,12,441.667,517
0.0108926,12,12,435.833,558
0.0106693,12,12,430.833,598
0.0107169,12,12,424.667,617
0.0107859,12,12,405.667,658
0.0107346,12,12,387.167,681
0.0103622,12,12,354.333,703
0.00994675,12,12,342,695
0.00983713,12,12,367.833,679
0.009567,12,12,377.167,663
0.0101491,12,12,380.667,653
0.00966841,12,12,366.167,622
0.00966635,12,12,366.167,622
0.00977432,12,12,364.667,627
0.0103663,12,12,313.167,720
0.0102095,12,12,264.333,757
0.010246,12,12,279.167,766
0.0103433,12,12,322.333,732
0.010308,12,12,343.833,689
0.0108622,12,12,376.167,658
0.0110096,12,12,386,622
0.010852,12,12,394.5,594
0.0113171,12,12,405.5,585
0.0117461,12,12,416.333,621
0.0120109,12,12,426.333,659
0.0114563,12,12,427.333,676
0.0110494,12,12,403,658
0.0108696,12,12,385.167,648
0.0105843,12,12,375.167,631
0.010395,12,12,375.667,616
0.0102214,12,12,378.667,593
0.010283,12,12,391.5,595
0.0108848,12,12,402.333,614
0.0110958,12,12,406.833,627
0.0111012,12,12,406.833,627
0.0111336,12,12,406.833,627
0.0111874,12,12,407.167,637
0.0115421,12,12,407.833,660
0.011767,12,12,407,677
0.011781,12,12,407,677
0.0117034,12,12,407.833,676
0.0116841,12,12,407.833,676
0.012311,12,12,423.5,704
0.0127277,12,12,420.167,779
0.0127806,12,12,370.333,831
0.0128644,12,12,373.167,867
0.013442,12,12,400,889
0.0138427,12,12,440,908
0.014424,12,12,500.5,891
0.0149088,12,12,558.167,823
0.0159676,12,12,607.5,717
0.0166441,12,12,641.5,811
0.0174816,12,12,671.5,837
0.0180962,12,12,704.833,889
0.0193138,12,12,740.167,942
0.0199904,12,12,778,1017
0.0211969,12,12,818.667,1073
0.0220287,12,12,862.667,1129
0.0235665,12,12,910.333,1198
0.0249902,12,12,963,1261
0.0263897,12,12,1018.17,1365
0.0293279,12,12,973.833,1945
0.0293813,12,12,961.5,2098
0.0314881,12,12,1025,2243
0.0331286,12,12,1104,2364
0.0352982,12,12,1179.33,2546
0.0372524,12,12,1272.17,2696
0.0402636,12,12,1368.83,2922
0.0430975,12,12,1476.83,3164
0.0499468,12,12,1538.33,3771
0.0552377,12,12,1471,4329
0.0607281,12,12,1586.83,4783
0.0642645,12,12,1840,5133
0.0649792,12,12,2332.5,4770
0.0711864,12,12,2600,5113
0.0746439,12,12,2873.33,4830
0.082483,12,12,3193,5392
0.111466,12,12,3570,8408
0.119175,12,12,3810.5,9826
0.135289,12,12,4494.33,10977
0.156063,12,12,5168.83,12791
0.206136,12,12,5672.33,16753
0.193988,12,12,7203.83,15081
0.22619,12,12,8656.5,15624
0.272934,12,12,8674,21170
0.306328,12,12,12003,22175
0.386246,12,12,12823.5,35078
0.53574,12,12,20672.5,41670
0.839769,12,12,22525.7,82982
